time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:15:18	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:18	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:18	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:19	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:20	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:21	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:21	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:21	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
